state,year,senate_total,senate_dem,senate_rep,senate_other,house_total,house_dem,house_rep,house_other
New York,2016,63,31,32,0,150,104,44,0
North Carolina,2016,50,16,34,0,120,45,74,1
North Dakota,2016,47,15,32,0,94,23,71,0
Ohio,2016,33,10,23,0,99,34,65,0
Oklahoma,2016,48,9,39,0,101,30,71,0
Oregon,2016,30,18,12,0,60,35,25,0
Pennsylvania,2016,50,19,30,0,203,82,118,0
Rhode Island,2016,38,32,5,1,75,63,11,1
South Carolina,2016,46,17,28,0,124,46,78,0
South Dakota,2016,35,8,27,0,70,12,58,0
Tennessee,2016,33,5,28,0,99,26,73,0
Texas,2016,31,11,20,0,150,51,99,0
Utah,2016,29,5,24,0,75,12,63,0
Vermont,2016,30,21,9,0,150,85,53,12
Virginia,2016,40,19,21,0,100,34,66,0
Washington,2016,49,24,25,0,98,50,48,0
West Virginia,2016,34,16,18,0,100,36,64,0
Wisconsin,2016,33,14,19,0,99,36,63,0
Wyoming,2016,30,4,26,0,60,9,51,0
Alabama,2017,35,8,26,1,105,32,72,0
Alaska,2017,20,6,14,0,40,17,21,2
Arizona,2017,30,13,17,0,60,25,35,0
Arkansas,2017,35,9,26,0,100,24,76,0
California,2017,40,27,13,0,80,55,25,0
Colorado,2017,35,17,18,0,65,37,28,0
Connecticut,2017,36,18,18,0,151,79,72,0
Delaware,2017,21,11,10,0,41,25,16,0
Florida,2017,40,15,25,0,120,41,79,0
Georgia,2017,56,18,38,0,180,62,118,0
Hawaii,2017,25,25,0,0,51,45,6,0
Idaho,2017,35,6,29,0,70,11,59,0
Illinois,2017,59,37,22,0,118,67,51,0
Indiana,2017,50,9,41,0,100,30,70,0
Iowa,2017,50,20,29,1,100,41,59,0
Kansas,2017,40,9,31,0,125,40,85,0
Kentucky,2017,38,11,27,0,100,36,64,0
Louisiana,2017,39,14,25,0,105,42,60,3
Maine,2017,35,17,18,0,151,77,72,2
Maryland,2017,47,33,14,0,141,90,51,0
Massachusetts,2017,40,34,6,0,160,125,35,0
Michigan,2017,38,11,27,0,110,47,63,0
Minnesota,2017,67,33,34,0,134,57,77,0
Mississippi,2017,52,20,32,0,122,48,74,0
Missouri,2017,34,9,25,0,163,46,117,0
Montana,2017,50,18,32,0,100,41,59,0
Nebraska,2017,49,0,0,49,0,0,0,0
Nevada,2017,21,11,9,1,42,27,15,0
New Hampshire,2017,24,10,14,0,400,175,225,0
New Jersey,2017,40,24,16,0,80,52,28,0
New Mexico,2017,42,26,16,0,70,38,32,0
New York,2017,63,32,31,0,150,107,43,0
North Carolina,2017,50,15,35,0,120,46,74,0
North Dakota,2017,47,9,38,0,94,13,81,0
Ohio,2017,33,9,24,0,99,33,66,0
Oklahoma,2017,48,6,42,0,101,26,75,0
Oregon,2017,30,17,13,0,60,35,25,0
Pennsylvania,2017,50,16,34,0,203,80,122,0
Rhode Island,2017,38,33,5,0,75,64,10,1
South Carolina,2017,46,18,28,0,124,44,80,0
South Dakota,2017,35,6,29,0,70,10,60,0
Tennessee,2017,33,5,28,0,99,25,74,0
Texas,2017,31,11,20,0,150,56,94,0
Utah,2017,29,5,24,0,75,13,62,0
Vermont,2017,30,23,7,0,150,84,53,13
Virginia,2017,40,19,21,0,100,34,66,0
Washington,2017,49,25,24,0,98,50,48,0
West Virginia,2017,34,12,22,0,100,36,63,1
Wisconsin,2017,33,13,20,0,99,35,64,0
Wyoming,2017,30,3,27,0,60,9,51,0
Alabama,2018,35,7,26,1,105,33,70,0
Alaska,2018,20,6,14,0,40,16,21,2
Arizona,2018,30,13,16,0,60,25,35,0
Arkansas,2018,35,9,24,0,100,24,75,0
